No,Kata_Unik
1,aadi
2,aam
3,aan
4,aau
5,abadi
6,abang
7,abangpalmerah
8,abdi
9,abdul
10,abdullah
11,aberdeen
12,abraham
13,absen
14,absennya
15,abt
16,abu
17,acara
18,access
19,account
20,accurate
21,acdacd
22,aceh
23,acehsumut
24,achmad
25,acosta
26,action
27,activ
28,activity
29,acuan
30,acuannya
31,ada
32,adalah
33,adanya
34,adaptasi
35,adapun
36,adhi
37,adi
38,adik
39,adikadik
40,adil
41,adininggar
42,adk
43,administrasi
44,adrenalin
45,adu
46,aduan
47,advokat
48,aeon
49,aeromodelling
50,af
51,afiliasi
52,agama
53,agar
54,agen
55,agency
56,agenda
57,agennya
58,agent
59,agentnya
60,agraria
61,agreement
62,agreementsspa
63,agresif
64,agrinas
65,agung
66,agunguniversitas
67,agus
68,agustus
69,agustusan
70,ahhn
71,ahiara
72,ahihns
73,ahlinya
74,ahmad
75,ahren
76,ai
77,aichinagoya
78,air
79,airin
80,airlangga
81,airport
82,ajaib
83,ajak
84,ajakan
85,ajaknya
86,ajang
87,aji
88,ajukan
89,akademi
90,akademik
91,akademisi
92,akal
93,akan
94,akbarsofyan
95,akdakd
96,akhir
97,akhiri
98,akhirnya
99,akibat
100,akibatnya
101,aklamasi
102,akm
103,akomodasi
104,akra
105,akselerasi
106,akses
107,aksesibilitas
108,aksesoris
109,aksi
110,aksiaksinya
111,akta
112,aktif
113,aktivitas
114,aktivtas
115,aku
116,akuatik
117,akuatikpolo
118,akui
119,akuisisi
120,akun
121,akuntabel
122,akuntansi
123,akur
124,akurasi
125,al
126,alaa
127,alam
128,alami
129,alasan
130,alat
131,alberta
132,albon
133,aldeguer
134,aleix
135,aleria
136,alex
137,alexander
138,alexanderpablo
139,alfa
140,alfian
141,alfianmuhammad
142,algadri
143,algarve
144,alhamdulillah
145,alhamdullilah
146,alhasil
147,ali
148,aliansi
149,alias
150,alibaba
151,alien
152,aliexpress
153,alih
154,alihalih
155,aliran
156,alkohol
157,all
158,allessya
159,allin
160,almando
161,alokasi
162,alonso
163,aloysia
164,alpine
165,alternatif
166,alti
167,alumni
168,alur
169,alwi
170,amal
171,amalia
172,aman
173,amanah
174,amanat
175,amanda
176,amankan
177,amartya
178,amat
179,amatir
180,ambarawa
181,ambarawabawen
182,ambil
183,ambisi
184,ambit
185,ambruk
186,ambulans
187,americas
188,amerika
189,amg
190,aminulah
191,amman
192,ammn
193,amrad
194,amran
195,amri
196,amsakar
197,amsterdamnya
198,an
199,anagata
200,anak
201,anakanak
202,anakanaknta
203,anakcucu
204,analis
205,analisa
206,analisis
207,anam
208,ananda
209,anarkis
210,anas
211,ancaman
212,ancol
213,and
214,anda
215,andakara
216,andal
217,andalan
218,andi
219,andra
220,andrez
221,andri
222,andrianto
223,angang
224,anggapan
225,anggar
226,anggaran
227,anggarannya
228,anggota
229,angin
230,angka
231,angkanya
232,angkasa
233,angkat
234,angkatan
235,angkatannya
236,angkekampung
237,angkut
238,animo
239,anjlok
240,anlega
241,anondo
242,antam
243,antar
244,antara
245,antaranya
246,antaratlet
247,antardaerah
248,antarinsan
249,antarmobil
250,antarpeserta
251,antarsistem
252,anthony
253,anthonyren
254,antisipasi
255,antonelli
256,antoni
257,antua
258,antuna
259,antusias
260,antusiasme
261,anugrah
262,anung
263,anwar
264,apa
265,apaapa
266,apabila
267,apakah
268,apalagi
269,apapun
270,apbn
271,api
272,apl
273,aplikasi
274,aplikasinya
275,aplikatif
276,app
277,apresiasi
278,apri
279,aprianto
280,april
281,aprilia
282,apriyani
283,arab
284,aragon
285,arah
286,arahan
287,aral
288,aramco
289,arang
290,arbitrage
291,archery
292,arci
293,ardiatma
294,area
295,areaarea
296,areanya
297,arena
298,arenanya
299,ari
300,arie
301,arip
302,aritonang
303,arjun
304,arjuna
305,armada
306,armadanya
307,arnez
308,art
309,arteri
310,artha
311,arthur
312,arti
313,artificial
314,artikel
315,artinya
316,artis
317,arus
318,arvid
319,arwana
320,as
321,asal
322,asap
323,asas
324,asasasas
325,asean
326,aset
327,asetaset
328,asha
329,asia
330,asian
331,asii
332,asing
333,asiran
334,asisten
335,askara
336,askomlek
337,asosiasi
338,aspek
339,aspirasi
340,asro
341,asroda
342,asset
343,association
344,aston
345,asuhan
346,asuransi
347,at
348,atas
349,atasan
350,atau
351,ataupun
352,atautrauma
353,atensi
354,athlete
355,atlantic
356,atlassian
357,atlet
358,atletatlet
359,atletik
360,atletnya
361,atmosfer
362,atmosfernya
363,atp
364,atrbpn
365,atrium
366,atrofi
367,aturan
368,aturannya
369,au
370,aud
371,audi
372,audiensi
373,audisi
374,augusto
375,austin
376,australia
377,austria
378,authority
379,autograph
380,autosports
381,avc
382,avenue
383,awak
384,awal
385,awalnya
386,ayah
387,ayahnya
388,ayal
389,ayam
390,aymane
391,ayu
392,ayubtan
393,azriyn
394,azriyntan
395,babak
396,babinsa
397,baby
398,baca
399,back
400,backhand
401,backtoback
402,backup
403,badan
404,badangizinasionalri
405,badannya
406,badminton
407,bag
408,bagaimana
409,bagaimanapun
410,bagas
411,bagasapriyani
412,bagi
413,bagian
414,bagir
415,bagnaia
416,bagnaiaogura
417,bagus
418,bahan
419,bahas
420,bahasa
421,bahasan
422,bahaya
423,bahkan
424,bahlil
425,bahrain
426,bahu
427,bahwa
428,baik
429,baikbaik
430,bait
431,bajaj
432,bak
433,bakal
434,bakar
435,bakat
436,bakti
437,baku
438,balai
439,balaji
440,balance
441,balap
442,balapan
443,balas
444,balasan
445,bali
446,balige
447,balik
448,balikpapansamarinda
449,balita
450,ballooners
451,ballroom
452,balsam
453,ban
454,bandan
455,bandara
456,bandarabandara
457,banding
458,bandung
459,banget
460,bangga
461,banggar
462,bangka
463,bangkit
464,bangsa
465,bangun
466,banjir
467,bank
468,bankbank
469,banner
470,bansos
471,bantam
472,bantar
473,banten
474,bantu
475,bantuan
476,bantul
477,banyak
478,banyakbanyak
479,banyaknya
480,banyurejo
481,baoan
482,bapak
483,bapakibu
484,bappebti
485,bara
486,barang
487,barangbarang
488,barangjasa
489,barangnya
490,barat
491,barcelona
492,barel
493,bareng
494,barengbareng
495,bareskrim
496,bari
497,barisan
498,bark
499,barki
500,barn
501,barra
502,baru
503,barubaru
504,basah
505,baseball
506,basic
507,basically
508,basicnya
509,basis
510,basket
511,basoetta
512,basuki
513,batal
514,batam
515,batang
516,batangan
517,batas
518,batasan
519,batch
520,batu
521,bawa
522,bawah
523,bawen
524,bayangkan
525,bayar
526,bazaar
527,bb
528,bbc
529,bbca
530,bbm
531,bbni
532,bbriidsolorun
533,bcis
534,bea
535,beach
536,beamishmatthew
537,bearman
538,beban
539,bebangka
540,bebannya
541,bebas
542,beber
543,beberapa
544,bebernya
545,becroft
546,becroftreece
547,beda
548,bedah
549,beginning
550,begitu
551,begitulah
552,bei
553,beijing
554,beirer
555,bekal
556,bekas
557,bekasi
558,bekerja
559,bekerjasama
560,bekti
561,belah
562,belahan
563,belajar
564,belakang
565,belakangan
566,belakangnya
567,belanda
568,belang
569,belanja
570,belasan
571,belgia
572,beli
573,beliau
574,belinya
575,belitung
576,belum
577,benar
578,benarbenar
579,bencana
580,bend
581,bendahara
582,bendera
583,beneficiary
584,bener
585,bensin
586,bentuk
587,benturan
588,bera
589,berada
590,beradaptasi
591,beragam
592,berakhir
593,beraksi
594,beraktivitas
595,beraktivtas
596,beralih
597,berambisi
598,beranggotakan
599,berangkat
600,berangsur
601,berani
602,berantakan
603,berapa
604,berapapun
605,berapi
606,berarti
607,beras
608,berasal
609,berat
610,berbagai
611,berbakat
612,berbalik
613,berbarengan
614,berbaring
615,berbasis
616,berbeda
617,berbedanya
618,berbentuk
619,berbicara
620,berbinar
621,berbisnis
622,berbuat
623,berburu
624,berdampak
625,berdarah
626,berdasarkan
627,berdaulat
628,berdaya
629,berdebu
630,berdiri
631,berdisiplin
632,berdiskusi
633,berdoa
634,berdurasi
635,bereaksi
636,berebut
637,beredar
638,beredarnya
639,beregu
640,berencana
641,berfokus
642,berfungsi
643,bergabung
644,berganda
645,bergandengan
646,berganti
647,bergantung
648,bergaya
649,bergengsi
650,bergerak
651,bergeser
652,bergizi
653,bergulir
654,berhad
655,berhadapan
656,berhadiah
657,berhak
658,berharap
659,berharga
660,berhasil
661,berhenti
662,berhubungan
663,beri
664,berikan
665,berikut
666,berikutnya
667,berimbang
668,berinovasi
669,berintropeksi
670,berinvestasi
671,berisi
672,berisiko
673,berita
674,berjalan
675,berjalannya
676,berjangka
677,berjarak
678,berjaya
679,berjenjang
680,berjualan
681,berjuang
682,berjudul
683,berjuluk
684,berjumpa
685,berkah
686,berkaitan
687,berkala
688,berkalikali
689,berkapasitas
690,berkarya
691,berkat
692,berkategori
693,berkecimpung
694,berkekuatan
695,berkelanjutan
696,berkembang
697,berkembangnya
698,berkenaan
699,berkendara
700,berkerja
701,berkesempatan
702,berkesinambungan
703,berkisar
704,berkode
705,berkolaborasi
706,berkomentar
707,berkomitmen
708,berkompetisi
709,berkomunikasi
710,berkonsentrasi
711,berkontribusi
712,berkoordinasi
713,berkualitas
714,berkuda
715,berkumpul
716,berkurang
717,berlaga
718,berlaku
719,berlalu
720,berlangsung
721,berlanjut
722,berlari
723,berlatih
724,berlawanan
725,berlebih
726,berlebihan
727,berlibur
728,berlindung
729,berlisensi
730,berlokasi
731,bermain
732,bermanfaat
733,bermasalah
734,bermimpi
735,bermodalkan
736,bermotor
737,bermuara
738,bermutu
739,bernama
740,bernasib
741,bernaung
742,bernostalgia
743,berolahraga
744,beroperasi
745,beroperasinya
746,berpartisipasi
747,berpartner
748,berpasangan
749,berpeluang
750,berpengalaman
751,berperan
752,berperingkat
753,berpesan
754,berpidato
755,berpikir
756,berpikirnya
757,berpotensi
758,berprestasi
759,berprofesi
760,berpuas
761,bersahabat
762,bersaing
763,bersama
764,bersamaan
765,bersamasama
766,bersatu
767,bersedia
768,bersediakah
769,bersejarah
770,berselang
771,berselisih
772,bersemangat
773,bersiap
774,bersifat
775,bersih
776,bersilaturahmi
777,bersinergi
778,berskala
779,bersosialisasi
780,berstandar
781,bersubsidi
782,bersumber
783,bersumpah
784,bersurat
785,bersyukur
786,bertabrakan
787,bertahan
788,bertahap
789,bertajuk
790,bertalenta
791,bertambah
792,bertambahnya
793,bertanding
794,bertanya
795,bertaraf
796,bertarung
797,bertekad
798,bertema
799,bertempat
800,bertemu
801,bertepatan
802,berterima
803,bertiga
804,bertindak
805,bertingkat
806,bertolak
807,bertuan
808,bertujuan
809,berturutturut
810,berubah
811,berujung
812,berulang
813,berulangkali
814,beruntun
815,beruntung
816,berupa
817,berupaya
818,berusaha
819,berusia
820,bervariasi
821,berwajib
822,berwenang
823,besar
824,besaran
825,besarannya
826,besarbesaran
827,besarnya
828,beserta
829,besi
830,besok
831,betapa
832,betul
833,betulbetul
834,beverages
835,bezzecchi
836,bgn
837,bgnnya
838,bhabinkamtibnas
839,bi
840,biang
841,biarkan
842,biasa
843,biasanya
844,biathle
845,biaya
846,bibit
847,bibitbibit
848,bicara
849,bicarakan
850,bidang
851,bidik
852,big
853,bijak
854,bikin
855,bila
856,bilal
857,bilang
858,bilateral
859,bima
860,bimo
861,bingung
862,bintang
863,bintangsofyan
864,bioetanol
865,biogas
866,biometana
867,birmingham
868,bisa
869,bisep
870,bisikan
871,bismillah
872,bismillahirrahmanirrahim
873,bisnis
874,bisnisnya
875,bitcoin
876,bitcoinkripto
877,bkn
878,bkpm
879,blang
880,blast
881,blauran
882,bleague
883,blog
884,blok
885,bloomberg
886,bmas
887,bmkg
888,bmks
889,bmri
890,bmw
891,bni
892,bnn
893,bnpb
894,bobot
895,bodong
896,bogor
897,bojonegoro
898,bola
899,bold
900,boldriders
901,boleh
902,bombing
903,bonds
904,bonus
905,booth
906,bop
907,borg
908,borgeric
909,borong
910,bortoleto
911,bos
912,bosetta
913,botol
914,bottas
915,boy
916,bp
917,bpa
918,bpakejaksaan
919,bpi
920,bpkn
921,bpom
922,bps
923,bram
924,bramantya
925,brand
926,brasil
927,brazil
928,break
929,breakeven
930,bren
931,brent
932,brevet
933,bri
934,brilian
935,brilink
936,brimo
937,broadcast
938,bronze
939,bros
940,brotherhood
941,brownfield
942,bsd
943,bsi
944,btn
945,buah
946,buahbuahan
947,buang
948,buaranklender
949,buat
950,buatan
951,buatkan
952,buatku
953,bubutan
954,budaya
955,budi
956,budidaya
957,build
958,buka
959,bukan
960,bukanlah
961,bukit
962,bukti
963,buktikan
964,buku
965,bulan
966,bulanan
967,bulanbulan
968,bulatkan
969,bull
970,bulls
971,bulog
972,bulu
973,bulutangkis
974,bum
975,bumi
976,bumn
977,bumnid
978,bung
979,bunga
980,bunganya
981,bungkus
982,buntu
983,bupati
984,bursa
985,bursabursa
986,buruburu
987,buruh
988,buruk
989,busan
990,business
991,butuh
992,buwono
993,buy
994,buyback
995,buyer
996,buyernya
997,buying
998,bwf
999,bwt
1000,by
1001,bylaws
1002,cabai
1003,cabang
1004,cable
1005,cabor
1006,caccess
1007,cad
1008,cadangan
1009,cadillac
1010,caf
1011,cahya
1012,cahyadi
1013,cakrawala
1014,cakupan
1015,cal
1016,calon
1017,caloncalon
1018,camp
1019,campur
1020,campuran
1021,candrika
1022,cantik
1023,capai
1024,capaian
1025,capex
1026,capital
1027,car
1028,cara
1029,caranya
1030,card
1031,cardionya
1032,cargo
1033,cargopro
1034,cari
1035,carikan
1036,carlo
1037,carlos
1038,carnando
